CODE COMPARATIVE TABLE - 1991 CODE
This table gives the location within this Code of those sections of the 1991 Code, as updated through June 30, 1995, which are included herein. Sections of the 1991 Code, as supplemented, not listed herein have been omitted as repealed, superseded, obsolete or not of a general and permanent nature. For the location of ordinances adopted subsequent thereto, see the table immediately following this table.
EXPAND
1991 Code
Section Section
this Code
13.12.070 13.30.070
13.12.080 13.30.080
13.12.090 13.30.090
13.12.100 13.30.100
15.04.010 15.10.010
15.04.020 15.10.020
15.04.030 15.10.030
15.04.050 15.10.050
15.04.060 15.10.060
15.04.070 15.10.070
15.04.080 15.10.080
15.04.090 15.10.090
15.04.100 15.10.100
15.04.110 15.10.110
15.08.010 15.20.010
15.08.020 15.20.020
15.08.030 15.20.030
15.08.040 15.20.040
15.08.050 15.20.050
15.08.060 15.20.060
15.08.070 15.20.070
15.12.010 15.30.010
15.12.020 15.30.020
15.12.030 15.30.030
15.12.040 15.30.040
15.12.050 15.30.050
15.12.060 15.30.060
15.12.070 15.30.070
15.16.010 15.40.010
15.16.020 15.40.020
15.16.030 15.40.030
15.16.040 15.40.040
15.16.050 15.40.050
15.16.060 15.40.060
15.16.070 15.40.070
15.16.080 15.40.080
15.20.010 15.50.010
15.20.020 15.50.020
15.20.030 15.50.030
15.20.040 15.50.040
15.20.050 15.50.050
15.20.060 15.50.060
15.20.070 15.50.070
15.24.010 15.60.010
15.24.020 15.60.020
15.24.030 15.60.030
15.24.040 15.60.040
15.24.050 15.60.050
15.28.010 15.70.010
15.28.020 15.70.020
15.28.030 15.70.030
15.28.040 15.70.040
15.28.050 15.70.050
16.04.010 16.10.010
16.04.020 16.10.020
16.04.030 16.10.030
16.04.040 16.10.040
16.04.050 16.10.050
16.04.060 16.10.060
16.04.070 16.10.070
16.04.080 16.10.080
16.04.090 16.10.090
16.04.100 16.10.100
16.04.110 16.10.110
16.08.010 16.20.010
16.08.020 16.20.020
16.08.030 16.20.030
16.08.040 16.20.040
16.08.050 16.20.050
16.08.060 16.20.060
16.08.070 16.20.070
16.08.080 16.20.080
16.08.090 16.20.090
16.08.100 16.20.100
16.08.110 16.20.110
16.08.120 16.20.120
16.08.130 16.20.130
16.08.140 16.20.140
16.08.150 16.20.150
16.08.160 16.20.160
16.08.170 16.20.170
16.08.180 16.20.180
16.08.190 16.20.190
16.08.200 16.20.200
16.08.210 16.20.210
16.08.220 16.20.220
16.08.230 16.20.230
16.08.240 16.20.240
16.08.250 16.20.250
16.08.260 16.20.260
16.08.270 16.20.270
16.08.280 16.20.280
16.08.290 16.20.290
16.08.300 16.20.300
16.08.310 16.20.310
16.08.320 16.20.320
16.08.330 16.20.330
16.08.340 16.20.340
16.08.350 16.20.350
16.08.360 16.20.360
16.08.370 16.20.370
16.08.380 16.20.380
16.08.390 16.20.390
16.08.400 16.20.400
16.08.410 16.20.410
16.08.420 16.20.420
16.08.430 16.20.430
16.08.440 16.20.440
16.08.450 16.20.450
16.08.460 16.20.460
16.08.470 16.20.470
16.08.480 16.20.480
16.08.490 16.20.490
16.08.500 16.20.500
16.08.510 16.20.510
16.08.520 16.20.520
16.08.530 16.20.530
16.08.540 16.20.540
16.08.550 16.20.550
16.12.010 16.30.010
16.12.020 16.30.020
16.12.030 16.30.030
16.12.040 16.30.040
16.12.050 16.30.050
16.12.060 16.30.060
16.12.070 16.30.070
16.12.080 16.30.080
16.12.090 16.30.090
16.12.100 16.30.100
16.12.110 16.30.110
16.12.120 16.30.120
16.12.130 16.30.130
16.12.140 16.30.140
16.12.150 16.30.150
16.12.160 16.30.160
16.12.170 16.30.170
16.12.180 16.30.180
16.12.190 16.30.190
16.12.200 16.30.200
16.12.210 16.30.210
16.12.220 16.30.220
16.12.230 16.30.230
16.12.240 16.30.240
16.12.250 16.30.250
16.12.260 16.30.260
16.12.270 16.30.270
16.12.280 16.30.280
16.12.290 16.30.290
16.12.300 16.30.300
16.12.310 16.30.310
16.12.320 16.30.320
16.12.330 16.30.330
16.12.340 16.30.340
16.12.350 16.30.350
16.12.360 16.30.360
16.12.370 16.30.370
16.12.380 16.30.380
16.12.390 16.30.390
16.12.400 16.30.400
16.12.410 16.30.410
16.12.420 16.30.420
16.16.010 16.40.010
16.16.020 16.40.020
16.16.030 16.40.030
16.16.040 16.40.040
16.16.050 16.40.050
16.16.060 16.40.060
16.16.070 16.40.070
16.16.080 16.40.080
16.20.010 16.50.010
16.20.020 16.50.020
16.20.030 16.50.030
16.20.040 16.50.040
16.20.050 16.50.050
16.20.060 16.50.060
16.20.070 16.50.070
16.20.080 16.50.080
16.20.090 16.50.090
16.20.100 16.50.100
16.20.110 16.50.110
16.20.120 16.50.120
16.20.130 16.50.130
16.20.140 16.50.140
16.20.150 16.50.150
16.24.010 16.60.010
16.24.020 16.60.020
16.24.030 16.60.030
16.24.040 16.60.040
16.24.050 16.60.050
16.24.060 16.60.060
16.24.070 16.60.070
16.24.080 16.60.080
16.24.090 16.60.090
16.24.100 16.60.100
16.24.110 16.60.110
16.24.120 16.60.120
16.24.130 16.60.130
16.24.140 16.60.140
16.24.150 16.60.150
16.24.160 16.60.160
16.24.170 16.60.170
16.24.180 16.60.180
16.24.190 16.60.190
16.24.200 16.60.200
16.24.210 16.60.210
16.24.220 16.60.220
16.24.230 16.60.230
16.24.240 16.60.240
16.24.250 16.60.250
16.24.260 16.60.260
16.24.270 16.60.270
16.24.280 16.60.280
16.28.010 16.70.010
16.28.020 16.70.020
16.28.030 16.70.030
16.28.040 16.70.040
16.28.050 16.70.050
16.28.060 16.70.060
16.28.070 16.70.070
16.28.080 16.70.080
16.28.090 16.70.090
16.28.100 16.70.100
16.28.110 16.70.110
16.28.120 16.70.120
16.28.130 16.70.130
16.28.140 16.70.140
16.28.150 16.70.150
16.28.160 16.70.160
16.28.170 16.70.170
16.28.180 16.70.180
16.28.190 16.70.190
16.28.200 16.70.200
16.28.210 16.70.210
16.28.220 16.70.220
16.28.230 16.70.230
16.28.240 16.70.240
16.28.250 16.70.250
16.28.260 16.70.260
16.28.270 16.70.270
16.28.280 16.70.280
16.28.290 16.70.290
16.28.300 16.70.300
16.28.310 16.70.310
16.28.320 16.70.320
16.32.010 16.80.010
16.32.020 16.80.020
16.32.030 16.80.030
16.32.040 16.80.040
16.32.050 16.80.050
16.32.060 16.80.060
16.32.070 16.80.070
16.32.080 16.80.080
16.32.090 16.80.090
16.32.100 16.80.100
16.32.110 16.80.110
16.32.120 16.80.120
16.32.130 16.80.130
16.32.140 16.80.140
16.32.150 16.80.150
16.32.160 16.80.160
16.36.010 16.100.010
16.36.020 16.100.020
16.36.030 16.100.030
16.36.040 16.100.040
16.36.050 16.100.050
16.36.060 16.100.060
16.36.070 16.100.070
16.36.080 16.100.080
16.36.090 16.100.090
16.36.100 16.100.100
16.36.110 16.100.110
16.36.120 16.100.120
16.36.130 16.100.130
16.36.140 16.100.140
16.36.150 16.100.150
16.36.160 16.100.160
16.40.010 16.110.010
16.40.020 16.110.020
16.40.030 16.110.030
16.40.040 16.110.040
16.40.050 16.110.050
16.40.060 16.110.060
16.40.070 16.110.070
16.44.010 16.120.010
16.48.010 16.130.010
16.52.010 16.140.010
16.52.020 16.140.020
16.52.030 16.140.030
16.52.040 16.140.040
16.52.050 16.140.050
16.56.010 16.150.010
16.56.020 16.150.020
16.56.030 16.150.030
16.56.040 16.150.040
16.60.010 16.160.010
16.60.020 16.160.020
16.60.030 16.160.030
16.60.040 16.160.040
16.60.050 16.160.050
17.10.010 17.10.010
17.20.010 17.20.010
17.20.015 17.20.020
17.20.030 17.20.030
17.20.040 17.20.040
17.20.050 17.20.050
17.20.060 17.20.060
17.20.065 17.20.070
17.20.070 17.20.080
17.20.074 17.20.090
17.20.075 17.20.100
17.20.076 17.20.110
17.20.080 17.20.120
17.20.090 17.20.130
17.20.100 17.20.140
17.20.105 17.20.150
17.20.110 17.20.160
17.20.120 17.20.170
17.20.130 17.20.180
17.20.135 17.20.190
17.20.136 17.20.200
17.20.140 17.20.210
17.20.160 17.20.220
17.20.170 17.20.230
17.20.175 17.20.240
17.20.180 17.20.250
17.20.185 17.20.260
17.20.190 17.20.270
17.20.200 17.20.280
17.20.210 17.20.290
17.20.215 17.20.300
17.20.220 17.20.310
17.20.230 17.20.320
17.20.235 17.20.330
17.20.236 17.20.340
17.20.240 17.20.350
17.20.245 17.20.360
17.20.250 17.20.370
17.20.260 17.20.380
17.20.262 17.20.390
17.20.270 17.20.400
17.20.275 17.20.410
17.20.280 17.20.420
17.20.282 17.20.430
17.20.290 17.20.440
17.20.292 17.20.450
17.20.295 17.20.460
17.20.296 17.20.470
17.20.300 17.20.480
17.20.310 17.20.490
17.20.320 17.20.500
17.20.330 17.20.510
17.20.338 17.20.520
17.20.340 17.20.530
17.20.350 17.20.540
17.20.360 17.20.550
17.20.370 17.20.560
17.20.380 17.20.570
17.20.390 17.20.580
17.20.400 17.20.590
17.20.410 17.20.600
17.20.420 17.20.610
17.20.430 17.20.620
17.20.440 17.20.630
17.20.450 17.20.640
17.20.480 17.20.650
17.20.500 17.20.660
17.20.510 17.20.670
17.20.515 17.20.680
17.20.520 17.20.690
17.20.523 17.20.700
17.20.526 17.20.710
17.20.530 17.20.720
17.20.540 17.20.730
17.20.550 17.20.740
17.20.560 17.20.750
17.20.570 17.20.760
17.20.580 17.20.770
17.20.590 17.20.780
17.20.600 17.20.790
17.20.610 17.20.800
17.20.620 17.20.810
17.20.630 17.20.820
17.20.640 17.20.830
17.20.648 17.20.840
17.20.650 17.20.850
17.20.660 17.20.860
17.20.670 17.20.870
17.20.690 17.20.880
17.20.700 17.20.890
17.20.705 17.20.900
17.20.710 17.20.910
17.20.720 17.20.920
17.20.730 17.20.930
17.20.735 17.20.940
17.20.740 17.20.950
17.20.750 17.20.960
17.20.760 17.20.970
17.20.765 17.20.980
17.20.770 17.20.990
17.20.780 17.20.1000
17.20.790 17.20.1010
17.20.800 17.20.1020
17.20.810 17.20.1030
17.20.820 17.20.1040
17.20.830 17.20.1050
17.20.835 17.20.1060
17.20.836 17.20.1070
17.20.838 17.20.1080
17.20.850 17.20.1090
17.20.853 17.20.1100
17.20.856 17.20.1110
17.20.858 17.20.1120
17.20.860 17.20.1130
17.20.862 17.20.1140
17.20.863 17.20.1150
17.20.864 17.20.1160
17.20.865 17.20.1170
17.20.866 17.20.1180
17.20.867 17.20.1190
17.20.880 17.20.1200
17.20.890 17.20.1210
17.20.900 17.20.1220
17.20.910 17.20.1230
17.20.915 17.20.1240
17.20.920 17.20.1250
17.20.930 17.20.1260
17.20.934 17.20.1270
17.20.940 17.20.1280
17.20.950 17.20.1290
17.20.960 17.20.1300
17.20.970 17.20.1310
17.20.975 17.20.1320
17.20.980 17.20.1330
17.20.990 17.20.1340
17.20.1000 17.20.1350
17.20.1010 17.20.1360
17.20.1015 17.20.1370
17.20.1020 17.20.1380
17.20.1030 17.20.1390
17.20.1040 17.20.1400
17.30.010 17.30.010
17.40.010 17.40.010
17.40.020 17.40.020
17.40.030 17.40.030
17.40.040 17.40.040
17.50.010 17.50.010
17.50.020 17.50.020
17.50.030 17.50.030
17.50.040 17.50.040
17.60.010 17.60.010
17.60.020 17.60.020
17.60.030 17.60.030
17.60.040 17.60.040
17.70.010 17.70.010
17.70.020 17.70.020
17.70.030 17.70.030
17.70.040 17.70.040
17.80.010 17.80.010
17.80.020 17.80.020
17.80.030 17.80.030
17.80.040 17.80.040
17.90.010 17.90.010
17.90.020 17.90.020
17.90.030 17.90.030
17.90.040 17.90.040
17.100.010 17.100.010
17.100.020 17.100.020
17.100.030 17.100.030
17.100.040 17.100.040
17.110.010 17.110.010
17.110.020 17.110.020
17.110.030 17.110.030
17.110.040 17.110.040
17.120.010 17.120.010
17.120.020 17.120.020
17.120.030 17.120.030
17.120.040 17.120.040
17.130.010 17.130.010
17.130.020 17.130.020
17.130.030 17.130.030
17.130.040 17.130.040
17.130.050 17.130.050
17.140.010 17.140.010
17.140.020 17.140.020
17.140.030 17.140.030
17.140.040 17.140.040
17.150.010 17.150.010
17.150.020 17.150.020
17.150.030 17.150.030
17.150.040 17.150.040
17.160.010 17.160.010
17.160.020 17.160.020
17.160.030 17.160.030
17.160.040 17.160.040
17.170.010 17.170.010
17.170.020 17.170.020
17.170.030 17.170.030
17.180.010 17.180.010
17.180.020 17.180.020
17.180.030 17.180.030
17.180.040 17.180.040
17.180.050 17.180.050
17.180.060 17.180.060
17.180.070 17.180.070
17.180.080 17.180.080
17.180.090 17.180.090
17.180.100 17.180.100
17.190.010 17.190.010
17.190.020 17.190.020
17.190.030 17.190.030
17.190.040 17.190.040
17.190.050 17.190.050
17.190.060 17.190.060
17.200.010 17.200.010
17.200.020 17.200.020
17.200.030 17.200.030
17.200.040 17.200.040
17.210.010 17.210.010
