CODE COMPARATIVE TABLE
Editorial Note: The 1959 Code sections listed in this table are taken from the 1959 City of East Point Code, as amended through 1977. The disposition in this code of ordinances adopted from April 4, 1977 is listed in the Ordinance Disposition Table which follows this table. In these tables, "N.C." means not codified; "R" means repealed; "S" means superseded; and "et seq." means "and the sections which follow."
EXPAND
Code 1959 Code 1980
5-15 7-3016
5-16 7-3017
5-17 7-3018
5-18 7-3019
5-19 7-3005
5-20 7-3007
5-21 7-3008
5-22 7-3014
5-23 7-3006
5-24 7-3009
5-25 7-3010
5-26 R
5-27 R
5A-1 R
5A-2 R
6-1 S 10-4001
6-2 R
6-3 R
6-4 R
6-5 R
6-6 R
6-7 R
6-7.1 R
6-8 R
6-9 R
6-9.1 R
6-9.2 R
6-9.3 R
6-10 R
6-11 R
6-12 R
6-13 R
6-14.1 R
6-14.2 R
6-15 R
6-16 R
6-17 R
6-18 R
6-19 R
6-20 R
6-21 R
6-22 R
6-23 R
6-24 R
6-25 R
6-26 R
6-27 R
6-28 R
6-29 R
6-30 R
6-31 R
6-32 R
6-33 R
6-33.1 R
6-33.2 R
6-34 R
6-35 R
6-36 R
6-37 R
6-38 R
6-39 R
6-40 R
6-41 R
6-42 R
6-43 R
6-44 R
6-45 R
6-46 R
6-46.1 R
6-46.2 R
6-46.3 R
6-46.4 R
6-46.5 R
6-46.6 R
6-46.7 R
6-46.8 R
6-46.9 R
6-46.10 R
6-47 R
6-48 S 10-4021
6-49 S 10-4021
6-50 R
6-51 R
6-52 R
6-53 R
6-54 R
6-54.1 R
6-55 R
6-56 R
6-57 R
6-58 R
6-59 R
6-60 R
6-61 R
6-62 R
6-63 R
6-64 R
6-64.1 R
6-64.2 R
6-64.3 R
6-64.4 R
6-64.5 R
6-64.6 R
6-64.7 R
6-64.8 R
6-64.9 R
6-64.10 R
6-64.11 R
6-64.12 R
6-64.13 R
6-64.14 R
6-64.15 R
6-64.16 R
6-64.17 R
6-64.18 R
6-64.19 R
6-64.20 R
6-64.21 R
6-65 S 10-4031
6-65.1 S 10-4031
6-66 S 10-4031
6-67 R
6-68 S 10-4041
6-91 10-4042
6-92 10-4043
6-93 10-4044
6-94 10-4045
6-95 S 10-4046
6-96 S 10-4047
6-97 10-4048
6-98 10-4049
6-108 S 10-4011
6-109 R
6-110 R
6-111 R
6-112 R
6-113 R
6-114 R
6-115 R
6-116 R
6-117 R
6-118 R
6-119 R
6-120 R
6-121 R
6-122 R
7-1 3-1001
7-2 S 3-1002
7-3 3-1003
7-4 3-1004
7-5 3-1005
7-6 3-1006
7-7 3-1007
7-8 3-1008
7-9 3-1009
7-10 3-1010
7-11 3-1011
7-12 3-1012
7-12.1 3-1013
7-13 3-4001
7-14 3-4002
7-15 S 3-4003
7-16 13-1020
7-17 13-1021
7-18 3-4004
7-19 3-4005
7-20 3-4006
7-21 S 3-4007
7-22 3-4008
7-23 3-4009
7-24 3-4010
7-25 3-4011
7-26 3-4012
7-27 3-4013
7-28 3-4014
7-29 3-4015
7-30 3-4016
7-31 3-5001
7-32 3-5002
7-33 3-5003
7-34 3-5004
7-35 S 3-3001
7-36 3-3002
7-37 S 3-2001
7-38 3-2002
7-39 S 3-2003
7-40 S 3-2004
7-41 S 3-2005
7-42 3-2006
7-43 3-2007
7-44 3-2008
8-1 2-3001
8-1.1 R
8-2 R
8-2.1 2-3002
8-2.2 2-3003
8-3 2-3004
8-4 2-3005
8-5 2-3006
8-6 2-3007
8-6.1 R
8-7 2-3008
8-8 2-3009
8-9 2-3010
8-10 2-3011
8-11 R
8-12 2-3012
8-15 2-3013
8-18 2-3014
8-23 2-3015
8-24 2-3016
8-25 2-3017
8-26 2-3018
9-1 S 8-2001
9-2 8-2002
9-2.1 R
9-3 S 8-2003
9-4 8-2004
9-5 8-2005
9-6 8-2006
9-7 8-2007
9-8 8-2008
9-9 S 8-2009
9-10 8-2010
9-11 8-2011
9-12 8-2012
9-13 8-2013
9-14 8-2014
9-15 8-2015
9-16 8-2016
9-17 8-2017
9-18 8-2018
9-19 8-2019
9-20 8-2020
9-21 8-2021
9-22 R
9-22.1 R
9-23 8-2041
9-23.1 8-2042
9-24 R
9-25 R
9-26 R
9-27 S 8-2044
9-27.1 S 8-2045
9-27.2 R
9-28 8-2046
9-29 S 8-2047
9-30 8-2048
9-30.1 8-2049
9-31 S 8-2050
9-32 8-2051
9-33 8-2052
9-34 8-2053
9-34.1 S 8-2054
9-34.2 R
9-35 8-2055
9-36 8-2056
9-36.1 8-2057
9-37 8-2058
9-38 8-2059
9-39 8-2060
9-40 S 8-2061
9-41 8-2062
9-42 8-2063
9-43 8-2064
9-44 8-2081
9-45 8-2082
9-46 8-2083
9-47 8-2084
9-48 8-2085
9-49 8-2086
9-50 8-2087
9-51 8-2088
9-52 8-2089
9-53 8-2090
9-54 8-2091
9-55 8-2092
9-56 8-2093
10-1 S 6-2031
10-2 S 6-2035
10-3 S 6-2036
10-4 S 6-2037
10-4.1 R
10-5 6-2038
10-6 6-2039
10-6.1 S 6-2034
10-7 R
10-7.1 R
10-8 R
10-9 R
10-10 R
10-11 R
10-12 R
10-13 R
10-14 R
10-15 R
10-15.1 R
10-15.2 R
10-16 R
10-17 R
10-18 R
10-19 R
10-20 R
10-21 R
10-22 R
10-23 R
10-24 R
10A-1 10-5001
10A-2 10-5002
10A-3 10-5003
10A-4 10-5004
10A-5 10-5005
11-1 7-1001
11-2 7-1002
11-2.1 7-1003
11-3 R
11-4 R
11-5 R
11-6 R
11-7 R
11-7.1 7-1004
11-8 R
11-9 R
11-10 R
11-11 R
11-12 R
11-13 R
11-14 R
11-15 R
11-16 R
11-17 R
11-18 R
11-19 R
11-20 7-2001
11-21 7-2002
11-22 7-2003
11-23 7-2004
11-24 7-2005
11-25 7-2006
11-26 7-2007
11-27 R
11-28 R
11-29 8-1016
11-30 R
11-31 7-2008
11-32 7-2009
11-32.1 7-2010
11-33 7-2011
11-34 7-2012
11-35 7-2013
11-36 7-2014
11-36.1 7-2015
11-37 7-2016
11-38 7-2017
11-39 7-2018
11-40 R
11-41 R
11-42 R
11-43 7-2019
11-50 7-5001
11-51 7-5002
11-52 7-5003
11-53 7-5004
11-54 7-5005
11-55 7-5006
11-56 7-5007
11-57 7-5008
11-58 R
12-1 R
12-2 S 9-2012
12-3 9-2001
12-4 9-2002
12-5 9-2003
12-6 S 9-2004
12-7 9-2005
12-8 9-2006
12-9 9-2007
12-10 9-2008
12-11 9-2009
12-12 9-2010
12-13 9-2011
12-14 R
13-1 5-3001
13-1.1 5-3002
13-2 5-3003
13-3 5-3004
13-3.1 5-3005
13-4 5-3006
13-4.1 5-3007
13-4.2 R
13-5 5-3008
13-5.1 S 5-3009
13-6 5-3010
13-6.1 S 5-3011
13-6.2 5-3012
13-7 5-3013
13-8 5-3014
13-9 5-3015
13-10 5-3016
13-11 5-3017
13-11.1 5-3018
13-12 5-3019
13-13 5-3020
13-14 5-3021
13-15 5-3022
13-16 5-3023
13-17 5-3024
13-7.1 5-3025
13-18 5-3026
13-18.1 R
13-19 5-3027
13-20 5-3028
13-21 5-3029
13-22 R
13-23 5-3030
13-24 5-3031
13-25 R
13-26 5-3061
13-27 5-3062
13-28 5-3063
13-29 S 5-3064
13-30 5-3065
13-31 5-3066
13-32 5-3067
13-33 5-3068
13-34 5-3069
13-35 5-3070
13-36 5-3071
13-37 5-3072
13-38 R
13-38.1 5-3081
13-38.2 5-3082
13-38.3 5-3083
13-38.4 S 5-3084
13-38.5 5-3085
13-38.6 5-3086
13-38.7 5-3087
13-38.8 5-3088
13-38.9 5-3089
13-39 S 5-3101
13-39.1 5-3102
13-40 5-3111
13-41 5-3112
13-42 5-3113
13-43 5-3114
13-44 5-3115
13-45 5-3116
13-46 5-3117
13-47 5-3118
13-48 5-3119
13-49 5-3120
13-50 5-3121
13-51 5-3122
13-52 5-3123
13-53 5-3124
13-54 S 5-3125
13-55 5-3126
13-56 5-3127
13-57 5-3128
13-58 5-3129
13-59 5-3130
13-60 5-3131
13-61 5-3132
13-62 5-3133
13-62.1 5-3141
13-62.2 S 5-3143
13-62.3 S 5-3143
13-62.4 5-3151
13-62.5 5-3152
13-62.6 5-3153
13-62.7 5-3154
13-62.8 5-3155
13-62.9 5-3156
13-62.10 5-3157
13-62.11 5-3158
13-62.12 5-3159
13-63 5-3171
13-64 5-3172
13-65 5-3173
13-66 5-3174
13-67 5-3175
13-68 S 3176
13-69 5-3177
13-70 5-3178
13-71 R
13-72 R
13-73 R
13-74 R
13-75 R
13-75.1 R
13-76 5-3191
13-77 5-3192
13-78 5-3193
13-79 5-3194
13-80 R
13-81 R
13-82 R
13-83 R
13-84 R
13-85 R
13-86 R
13-87 R
13-88 R
13-89 R
13-90 R
13-91 S 5-3211
13-92 S 5-3212
13-93 S 5-3213
13-94 R
13-94.1 R
13-94.2 R
13-94.3 S 5-3051
13-94.4 S 5-3052
13-94.5 R
13-94.6 R
13-94.7 R
13-94.8 R
13-94.9 R
13-94.10 R
13-94.11 R
13-94.12 R
13-94.13 R
13-94.14 R
13-94.15 R
13-94.16 R
13-94.17 R
13-94.18 R
13-94.19 R
13-94.20 R
13-94.21 R
13-94.22 R
13-95 R
13-96 S 5-2001
13-107 R
13-108 R
13-109 R
13-110 R
13-111 R
13-112 R
13-113 R
14-1 R
14-2 13-1001
14-3 13-1006
14-3.1 13-2001
14-3.2 13-2002
14-4 13-1002
14-5 R
14-6 R
14-7 13-2003
14-8 R
14-9 S 13-1005
14-10 13-2004
14-11 S 13-2008
14-11.1 13-2005
14-12 13-2006
14-13 R
14-14 13-2007
14-15 R
14-15.1 10-5006
14-16 13-2010
14-17 13-2011
14-18 13-2012
14-19 R
14-20 13-2013
14-21 13-2014
14-22 13-1003
14-23 13-1004
14-24 S 13-2009
14-25 S 13-2009
14-26 S 13-2009
14-27 S 13-1007
14-28 13-2015
14-29 13-1008
14-30 13-1009
14-31 R
14-32 13-2016
14-33 13-1010
14-33.1 13-1011
14-34 13-2017
14-35 13-2017
14-36 R
14-37 13-1012
14-38 13-2018
