CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances of the city used in this Code. Repealed or superseded laws at the time of the codification and any omitted materials are not reflected in the table.
EXPAND
Legislation Date Section Section
this Code
Ord. No. 2013-05-01 7-23-2013 1 2.15
Ord. No. 2013-09-03 9-10-2013 1(14-407) 14-726
1(14-408) 14-727
1(14-409) 14-728
1(14-410) 14-729
1(14-411) 14-730
1(14-412) 14-731
1(14-414) 14-732
1(14-415) 14-733
1(14-416) 14-765
1(14-417) 14-766
1(14-418) 14-767
1(14-419) 14-768
1(14-420) 14-790
1(14-421) 14-791
1(14-422) 14-792
1(14-423) 14-793
1(14-424) 14-794
1(14-425) 14-795
1(14-426) 14-814
1(14-427) 14-815
1(14-428) 14-816
1(14-429) 14-817
1(14-430) 14-818
1(14-431) 14-819
1(14-432) 14-847
1(14-433) 14-873
1(14-434) 14-874
1(14-435) 14-875
Ord. No. 2013-10-03 10-8-2013 1 14-730
Ord. No. 2014-01-05 3-25-2014 att.(14-44.2) 14-148
att.(14-44.3) 14-149
att.(14-44.4) 14-150
att.(14-44.5) 14-151
att.(14-44.6) 14-152
att.(14-44.7) 14-153
att.(14-44.8) 14-154
att.(14-44.9) 14-155
att.(14-44.10) 14-156
att.(14-44.11) 14-157
att.(14-44.12) 14-158
att.(14-44.13) 14-159
Ord. No. 2014-03-01 3-25-2014 16-1 18-2
16-2 18-3
16-3 18-4
16-4 18-5
16-5 18-6
16-6 18-7
16-7 18-8
16-8 18-9
16-9 18-10
16-11 18-11
16-12 18-12
16-13 18-13
16-14 18-14
16-15 18-15
16-16 18-16
16-21 18-36
16-22 18-37
16-23 18-38
16-24 18-39
16-25 18-40
16-26 18-41
16-27 18-42
16-28 18-1
16-31 18-73
16-32 18-74
16-33 18-75
16-34 18-76
16-35 18-77
16-36 18-78
16-51 18-100
16-52 18-101
16-53 18-102
16-54 18-103
16-61 18-135
16-62 18-136
16-63 18-137
16-64 18-138
16-65 18-139
Ord. No. 2014-04-05 4-22-2014 18-53 16-99
18-55 16-101
Ord. No. 2014-05-11 5-11-2014 16-302 16-151
16-303 16-152
16-304 16-153
16-305 16-154
16-306 16-155
16-307 16-156
16-308 16-157
16-309 16-158
16-310 16-159
Ord. No. 2014-05-01 5-13-2014 — 4-65
— 4-67
Ord. No. 2014-05-03 5-13-2014 1 7-87
Ord. No. 2014-05-07 5-21-2014 2.401 2-375
2.402 2-376
2.403 2-377
2.404 2-378
2.405 2-379
2.406 2-380
2.407 2-381
Ord. No. 2014-05-05-10 5-27-2014 — 4-163
— 4-186
Ord. No. 2014-05-08 5-27-2014 — 4-56
Ord. No. 2014-05-09 5-27-2014 — 4-129
Ord. No. 2014-06-03 6-10-2014 4-251 4-327
4-252 4-328
Ord. No. 2014-07-01 7-8-2014 — 4-134
Ord. No. 2014-07-02 7-8-2014 — 4-136
Ord. No. 2014-07-06 7-22-2014 9-3 9-3
Ord. No. 2014-08-02 8-12-2014 4-31 4-57
4-32 4-1
— 4-58
Ord. No. 2014-07-07 8-26-2014 — 14-47
— 14-48
— 14-49
— 14-50
— 14-51
— 14-52
Ord. No. 2014-09-01 9-22-2014 — 16-99
Ord. No. 2014-09-02 9-23-2014 — 4-160
— 4-163
— 4-184
— 4-186
— 4-214
— 4-216
Ord. No. 2014-09-03 9-23-2014 I(27-2) 27-1
I(27-3) 27-2
I(27-4) 27-3
I(27-5) 27-4
I(27-6) 27-5
I(27-7) 27-6
I(27-8) 27-7
I(27-9) 27-8
I(27-10) 27-9
I(27-11) 27-10
I(27-12) 27-11
I(27-13) 27-12
I(27-14) 27-13
I(27-15) 27-14
I(27-16) 27-15
I(27-17) 27-16
I(27-31) 27-17
I(27-32) 27-18
I(27-33) 27-19
I(27-34) 27-20
I(27-35) 27-21
I(27-41) 27-48
I(27-42) 27-49
I(27-47) 27-50
I(27-48) 27-51
I(27-49) 27-52
I(27-61) 27-102
I(27-62) 27-103
I(27-63) 27-104
I(27-64) 27-105
I(27-65) 27-106
I(27-66) 27-107
I(27-67) 27-108
I(27-68) 27-109
I(27-69) 27-110
I(27-70) 27-111
I(27-71) 27-112
I(27-81) 27-138
I(27-82) 27-139
I(27-83) 27-140
I(27-84) 27-141
I(27-85) 27-142
I(27-86) 27-143
I(27-87) 27-144
I(27-88) 27-145
I(27-89) 27-146
I(27-90) 27-147
I(27-91) 27-148
I(27-101) 27-180
I(27-102) 27-181
I(27-103) 27-182
