COMPARATIVE TABLE 2
EXPAND
RICHMOND COUNTY CODE AUGUSTA-RICHMOND COUNTY CODE CITY OF AUGUSTA CODE
17-55 6-7-23 18-30
17-56 6-7-24 18-31
17-57 6-7-25 18-32
17-58 6-7-26 18-48
17-59 6-7-27 18-33
17-60 6-7-28 18-34
17-61 6-7-29 18-35
17-62 6-7-30 18-36
17-63 6-7-31 18-37
17-64 6-7-32 18-39
17-65 6-7-33 18-41
17-66 6-7-34 18-42
17-67 6-7-35 18-43
17-69 6-7-39
17-70 6-7-41 18-49
17-71 6-7-8
17-72 6-7-9
17-73 6-7-43
17-74 6-7-44 18-52
17-84 6-7-48
17-85 6-7-51
17-86 6-7-52
17-87 6-7-53
17-88 6-7-54
17-89 6-7-55
17-90 6-7-56
17-91 6-7-57
17-92 6-7-58
17-93 6-7-59
17-94 6-7-49
17-95 6-7-50
17-96 6-7-60
17-97 6-7-61
18-1 5-2-14, 5-2-27 19-26
18-1.3 5-3-2
18-2 5-3-3
18-3 5-3-4
18-4 5-3-5
18-6 5-3-7
18-6(2) 5-3-8
18-6(3) 5-3-9
18-8 5-3-12
18-9 5-3-13
18-11 5-3-15, 5-3-16
18-12 5-3-16
18-23 5-2-92 19-70
18-24 5-2-93 19-71
18-25 5-2-94 19-72
18-26 5-2-95 19-74
18-27 5-2-96 19-75
18-28 5-2-97 19-76
18-29 5-2-99 19-77
18-30 5-2-100 19-78
18-31 5-2-101 19-79
18-32 5-2-102 19-80
18-33 5-2-103
18-41 5-2-110
18-42 5-2-111
18-43 5-2-112
18-44 5-2-113
18-45 5-2-114
18-46 5-2-115
19-1 8-5-1
