CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances and resolutions found in the Code.
EXPAND
Legislation Date Section Section
in Code
Ord. No. 2010-04 xx-xx-2010 pt. 2(38-26) 16-19
pt. 2(38-27) 16-20
pt. 2(38-28) 16-21
pt. 2(38-29(1)) 16-22
pt. 2(38-29(2)) 16-23
pt. 2(38-30) 16-23
pt. 2(38-31) 16-23
pt. 2(38-32) 16-24
pt. 2(38-33) 16-25
pt. 2(38-34) 16-26
pt. 2(38-35) 16-27
pt. 2(38-36) 16-28
Ord. No. 2011-05 10-10-2011 1 8-5
Ord. No. 2011-06 12-12-2011 1 38-124—38-130
2012-02  8-13-2012 1       Added 35-10
Ord. No. 2012-03 10-8-2012 1(28-24) 38-24
1(90-100) 38-21
1(90-101) 38-22
1(90-102) 38-23
Ord. No. 2012-07 10-8-2012 1(91-100) 10-975
1(91-101) 10-976
1(91-102) 10-977
1(91-103) 10-978
1(91-104) 10-979
1(91-105) 10-980
1(91-106) 10-981
Ord. of 11-12-2012 11-12-2012 1(62-50) 30-9
Ord. No. 2013-03 3-11-2013 1(22-188) 12-46
Ord. No. 2013-02 7-8-2013 1(54-1) 2-55
Ord. No. 2013-04 8-12-2013 1(18-400) 10-1006
1(18-401) 10-1007
1(18-402) 10-1008
1(18-403) 10-1009
1(18-404) 10-1010
1(18-405) 10-1011
1(18-406) 10-1012
1(18-407) 10-1013
1(18-408) 10-1014
Ord. No. 2013-06 11-11-2013 1(6-400) 4-305
1(6-401) 4-306
1(6-402) 4-307
1(6-403) 4-308
1(6-404) 4-309
Ord. No. 2014-02 3-17-2014 1 10-3
Ord. No. 2014-04 9-15-2014 1(1300) App. A, § 1300
1(1301) App. A, § 1301
1(1302) App. A, § 1302
1(1303) App. A, § 1303
1(1304) App. A, § 1304
1(1305) App. A, § 1305
1(1306) App. A, § 1306
1(1307) App. A, § 1307
Ord. No. 2014-05 10-20-2014 1(1) 20-1
1(2) 20-2
1(3) 20-3
1(4) 20-4
1(5) 20-5
1(6) 20-6
1(7) 20-7
Ord. No. 2014-08 12-15-2014 1(6-236) 4-278
Ord. No. 2015-03 5-18-2015 pt. I, § 1 4-270
Ord. No. 2015-04 5-18-2015 1 App. A, § 815
Ord. No. 2015-05 11-16-2015 1 2-54
2016-01  1-19-2016 1 35-10
Ord. No. 2016-02 3-21-2016 1(2-200) 2-84
1(2-201) 2-85
1(2-202) 2-86
1(2-203) 2-87
1(2-204) 2-88
1(2-205) 2-89
1(2-206) 2-90
1(2-207) 2-91
1(2-208) 2-92
1(2-210) 2-93
1(2-211) 2-94
Ord. No. 2016-03 3-21-2016 1(95-1) 2-143
1(95-2) 2-144
1(95-3) 2-145
1(95-4) 2-146
1(95-5) 2-147
1(95-6) 2-148
1(95-7) 2-149
1(95-8) 2-150
1(95-9) 2-151
1(95-10) 2-152
1(95-11) 2-153
1(95-12) 2-154
1(95-13) 2-155
1(95-14) 2-156
1(95-15) 2-157
1(95-16) 2-158
1(95-17) 2-159
1(95-18) 2-160
1(95-19) 2-161
1(95-20) 2-162
1(95-21) 2-163
1(95-22) 2-164
1(95-23) 2-165
Ord. No. 2016-05 3-21-2016 1(38-200) 16-133
1(38-201) 16-134
1(38-202) 16-135
Ord. No. 2017-01 1-23-2017 1(38-1) 16-19
1(38-2) 16-20
1(38-3) 16-21
1(38-4) 16-22
1(38-5) 16-23
1(38-6) 16-24
1(38-7) 16-25
1(38-8) 16-26
1(38-9) 16-27
1(38-10) 16-28
Ord. No. 2017-05 3-20-2017 1(18-29) 10-68
Ord. No. 2017-11 8-21-2017 1(62-250) 10-1042
1(62-251) 10-1043
1(62-252) 10-1044
1(62-253) 10-1045
Ord. No. 2018-01 1-8-2018 1(800) App. A, § 800
1(801) App. A, § 801
1(802) App. A, § 802
1(803) App. A, § 803
1(804) App. A, § 804
1(805) App. A, § 805
1(806) App. A, § 806
1(807) App. A, § 807
1(808) App. A, § 808
1(809) App. A, § 809
1(810) App. A, § 810
1(811) App. A, § 811
Ord. No. 2018-03 3-19-2018 1(38-2) 16-20
1(38-4) 16-22
1(38-5) 16-23
Ord. No. 2018-07 8-20-2018 1(42-5) 18-4
2(42-31.1) 18-28
2(42-40) 18-37
2(42-41) 18-38
2(42-42) 18-39
Ord. No. 2019-01  4-15-2019 Adopt. Ord. pg. xi
Ord. No. 2019-03  8-19-2019 1 App. A, 401
Ord. No. 2019-04  8-19-2019 1       Added App. A, 807.11
Ord. No. 2020-01  4-20-2020 1 18-28
Ord. No. 2020-02  6-15-2020 1 App. A, § 815.2
2 App. A, § 815.3
2020-06 10-19-2020 1       Rpld 20-1—20-7
      Added 20-1—20-8
2020-07 10-19-2020 1       Rpld 28-21—28-26
      Added 28-21—28-28,
28-51—28-53
2021-07  8-16-2021 1       Added App. A, § 811.6
