SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Resolutions that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Resolutions that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Res. No. Date
Adopted Included/
Omitted Supp. No.
17-035  8- 7-17 Omitted 19
17-036  8- 7-17 Omitted 19
17-037  8-16-17 Omitted 19
17-038  8-28-17 Omitted 19
17-039  8-28-17 Omitted 19
17-040  8-28-17 Omitted 19
17-041  9-18-17 Omitted 19
17-042  9-25-17 Omitted 19
17-043  9-25-17 Omitted 19
17-044 10- 2-17 Omitted 19
17-045 10-16-17 Omitted 19
17-046 10-16-17 Omitted 19
17-047 10-16-17 Omitted 19
17-048 10-16-17 Omitted 19
17-049 11- 6-17 Omitted 19
17-050 11- 6-17 Omitted 19
17-051 11- 6-17 Omitted 19
17-052 11- 6-17 Omitted 19
17-053 11- 6-17 Omitted 19
17-054 11- 6-17 Omitted 19
17-055 11- 6-17 Omitted 19
17-056 11-20-17 Omitted 19
17-057 11-20-17 Omitted 19
17-058 12- 4-17 Omitted 19
17-059 12- 4-17 Omitted 19
17-060 12-11-17 Omitted 19
17-061 12-11-17 Omitted 19
18-001  1-22-18 Omitted 19
18-002  1-22-18 Omitted 19
18-003  1-22-18 Omitted 19
18-004  1-22-18 Omitted 19
18-005  1-22-18 Omitted 19
18-006  1-22-18 Omitted 19
18-007  2- 5-18 Omitted 19
18-008  2- 5-18 Omitted 19
18-009  2- 5-18 Omitted 19
18-010  3- 5-18 Omitted 19
18-011  3-19-18 Omitted 19
18-012  4- 2-18 Omitted 19
18-013  4- 2-18 Omitted 19
18-014  4- 2-18 Omitted 19
18-015  4-16-18 Omitted 19
18-016  4-16-18 Omitted 19
18-017  5-21-18 Omitted 19
18-018  5-21-18 Omitted 19
18-019  6- 4-18 Omitted 19
18-020  6- 4-18 Omitted 19
18-021  6- 4-18 Omitted 19
18-022  6-18-18 Omitted 19
18-023  6-18-18 Omitted 19
18-024  6-18-18 Omitted 19
18-025  6-18-18 Omitted 19
18-026  6-18-18 Omitted 19
18-026a  7-16-18 Omitted 19
18-027  7-23-18 Omitted 19
18-028  7-30-18 Omitted 19
18-029  7-30-18 Omitted 19
18-030  8- 6-18 Omitted 19
18-031  8- 6-18 Omitted 19
18-032  8- 6-18 Omitted 19
18-033  8-20-18 Omitted 19
18-034  8-20-18 Omitted 19
18-035  8-27-18 Omitted 19
18-036  8-27-18 Included 19
18-037  8-27-18 Omitted 19
18-038  9-10-18 Omitted 19
18-039  9-10-18 Omitted 19
18-040  9-10-18 Omitted 19
18-041  9-10-18 Omitted 19
18-042  9-17-18 Omitted 19
18-043  9-17-18 Omitted 19
18-044  9-17-18 Omitted 19
18-045  9-17-18 Omitted 19
18-046  9-17-18 Omitted 19
18-047 10- 1-18 Omitted 19
18-048 10-15-18 Omitted 19
18-049 10-15-18 Omitted 19
18-050 10-15-18 Omitted 19
18-051 10-15-18 Omitted 19
18-052 11- 5-18 Omitted 19
18-053 11- 5-18 Omitted 19
18-054 11- 5-18 Omitted 19
18-055 11- 5-18 Omitted 19
18-056 11- 5-18 Omitted 19
18-057 Not passed Omitted 19
18-058 11-19-18 Omitted 19
18-059 11-19-18 Included 19
18-060 11-19-18 Omitted 19
18-061 12- 3-18 Omitted 19
18-062 12- 3-18 Omitted 19
18-063 12-17-18 Omitted 19
18-064 12-17-18 Omitted 19
18-065 12-17-18 Omitted 19
18-066 12-17-18 Omitted 19
18-067 12-17-18 Omitted 19
19-001  1- 7-19 Omitted 19
19-002  1-18-19 Omitted 19
19-003  1-28-19 Omitted 19
19-004  1-28-19 Omitted 19
19-005  1-28-19 Omitted 19
19-006  2- 4-19 Omitted 19
19-007  2- 4-19 Omitted 19
19-008  2-14-19 Omitted 19
19-009  2-25-19 Omitted 19
19-010  2-25-19 Omitted 19
19-011  3- 4-19 Omitted 19
19-012  4- 1-19 Omitted 19
19-013  4- 1-19 Omitted 19
19-014  4- 1-19 Omitted 19
19-015  4- 1-19 Omitted 19
19-016  4- 1-19 Omitted 19
19-017  4- 1-19 Omitted 19
19-018  4-15-19 Omitted 19
19-019  4-15-19 Omitted 19
19-020  4-15-19 Omitted 19
19-021  4-15-19 Omitted 19
19-022  4-15-19 Omitted 19
19-023  4-15-19 Omitted 19
19-024  5- 6-19 Omitted 19
19-025  5- 6-19 Omitted 19
19-026  5- 6-19 Omitted 19
19-027  5- 6-19 Omitted 19
19-028  5- 6-19 Omitted 19
19-029  6- 3-19 Omitted 19
19-030  6-17-19 Omitted 19
19-031  6-17-19 Omitted 19
19-032  6-17-19 Omitted 19
19-033  6-17-19 Omitted 19
19-034  7- 1-19 Omitted 19
19-035  7- 1-19 Omitted 19
19-036  7-15-19 Omitted 19
19-037  7-15-19 Omitted 19
19-038  7-15-19 Omitted 19
19-039  7-15-19 Omitted 19
19-040  8- 5-19 Omitted 19
19-041  8- 5-19 Omitted 19
19-042  8- 5-19 Omitted 19
19-043  8- 5-19 Omitted 19
19-044  8- 5-19 Omitted 19
19-045  8-19-19 Omitted 19
19-046  8-19-19 Omitted 19
19-047  8-19-19 Omitted 19
19-048  8-19-19 Omitted 19
19-049  9- 9-19 Omitted 19
19-050  9- 9-19 Omitted 19
19-051  9-23-19 Omitted 19
19-052  9-23-19 Omitted 19
19-053  9-23-19 Omitted 19
19-054  9-23-19 Omitted 19
19-055  9-23-19 Omitted 19
19-056  9-23-19 Omitted 19
19-057 10- 7-19 Omitted 19
19-058 10- 7-19 Omitted 19
19-059 10- 7-19 Omitted 19
19-060 10-21-19 Omitted 19
19-061 10-21-19 Omitted 19
19-062 10-25-19 Omitted 19
19-063 11- 4-19 Omitted 19
19-064 11- 4-19 Omitted 19
19-065 11- 4-19 Omitted 19
19-066 11- 6-19 Omitted 19
19-067 11-18-19 Omitted 19
19-068 11-18-19 Omitted 19
19-069 12- 2-19 Omitted 19
19-070 12- 2-19 Included 19
19-071 12- 2-19 Included 19
19-072 12- 2-19 Omitted 19
19-073 12- 2-19 Omitted 19
19-074 12-16-19 Omitted 19
20-001  1- 6-20 Omitted 19
20-002  1-27-20 Omitted 19
20-003  1-27-20 Omitted 19
20-004  1-27-20 Omitted 19
20-005  1-27-20 Omitted 19
20-006  1-27-20 Omitted 19
20-007  1-27-20 Omitted 19
20-008  2-17-20 Omitted 19
20-009  2-17-20 Omitted 19
20-010  3- 2-20 Omitted 19
20-011  3- 2-20 Omitted 19
20-012  3- 2-20 Omitted 19
20-013  3- 2-20 Omitted 19
20-014  3- 2-20 Omitted 19
20-015  3-16-20 Omitted 19
20-016  3-16-20 Omitted 19
20-017  3-16-20 Omitted 19
20-018  3-16-20 Omitted 19
20-019  3-30-20 Omitted 19
20-020  3-30-20 Omitted 19
20-021  3-30-20 Omitted 19
20-022  3-30-20 Omitted 19
20-023  3-30-20 Omitted 19
20-024  5-11-20 Omitted 19
20-025  5-11-20 Omitted 19
20-026  5-18-20 Omitted 19
20-027  5-18-20 Omitted 19
20-028  5-18-20 Omitted 19
20-029  5-18-20 Omitted 19
20-030  5-18-20 Omitted 19
20-031  6- 1-20 Omitted 19
20-032  6-15-20 Omitted 19
20-033  6-15-20 Omitted 19
20-034  6-29-20 Omitted 19
20-035  6-29-20 Omitted 19
20-036  6-29-20 Omitted 19
20-037  7- 6-20 Omitted 19
20-038  7-20-20 Omitted 19
20-039  7-20-20 Omitted 19
20-040  7-20-20 Omitted 19
20-041  7-20-20 Omitted 19
20-042  7-20-20 Omitted 19
20-043  7-20-20 Omitted 19
20-044  8- 3-20 Omitted 19
20-045  8- 3-20 Omitted 19
20-046  8- 3-20 Omitted 19
20-047  8- 3-20 Omitted 19
20-048  8- 3-20 Omitted 19
20-049  8- 3-20 Omitted 19
20-050  8-17-20 Omitted 19
20-051  8-17-20 Omitted 19
20-052  8-31-20 Omitted 19
20-053  8-31-20 Omitted 19
20-054  8-31-20 Omitted 19
20-055  8-31-20 Omitted 19
20-056  9-21-20 Omitted 19
20-057  9-21-20 Omitted 19
20-058  9-21-20 Omitted 19
20-059  9-28-20 Omitted 19
20-060  9-28-20 Omitted 19
20-061  9-28-20 Omitted 19
